X,Y,time,video
17.116932,48.131535,16:51:29,160
17.116933,48.131575,16:51:30,161
17.116932,48.131614,16:51:31,162
17.116933,48.131653,16:51:32,163
17.116935,48.131692,16:51:33,164
17.116937,48.131732,16:51:34,165
17.116938,48.131773,16:51:35,166
17.116938,48.131815,16:51:36,167
17.116939,48.131858,16:51:37,168
17.11694,48.131901,16:51:38,169
17.116941,48.131944,16:51:39,170
17.116944,48.131987,16:51:40,171
17.116947,48.13203,16:51:41,172
17.11695,48.132074,16:51:42,173
17.116954,48.132116,16:51:43,174
17.116956,48.132159,16:51:44,175
17.116958,48.132202,16:51:45,176
17.116961,48.132245,16:51:46,177
17.116964,48.132288,16:51:47,178
17.116966,48.132334,16:51:48,179
17.116968,48.132378,16:51:49,180
17.116972,48.132424,16:51:50,181
17.116978,48.13247,16:51:51,182
17.116984,48.132515,16:51:52,183
17.116989,48.132557,16:51:53,184
17.116993,48.1326,16:51:54,185
17.116996,48.132644,16:51:55,186
17.116998,48.132689,16:51:56,187
17.116998,48.132734,16:51:57,188
17.116997,48.13278,16:51:58,189
17.116997,48.132827,16:51:59,190
17.116996,48.132874,16:52:00,191
17.116995,48.132921,16:52:01,192
17.116994,48.13297,16:52:02,193
17.116994,48.133018,16:52:03,194
17.116995,48.133066,16:52:04,195
17.116997,48.133113,16:52:05,196
17.117,48.133161,16:52:06,197
17.117006,48.133209,16:52:07,198
17.117013,48.133257,16:52:08,199
17.11702,48.133306,16:52:09,200
17.117026,48.133355,16:52:10,201
17.117032,48.133405,16:52:11,202
17.117038,48.133454,16:52:12,203
17.117044,48.133504,16:52:13,204
17.117048,48.133553,16:52:14,205
17.117052,48.133603,16:52:15,206
17.117056,48.133653,16:52:16,207
17.117059,48.133703,16:52:17,208
17.117064,48.133755,16:52:18,209
17.117065,48.133804,16:52:19,210
17.117064,48.133853,16:52:20,211
17.117063,48.133902,16:52:21,212
17.117061,48.133951,16:52:22,213
17.11706,48.134001,16:52:23,214
17.117059,48.13405,16:52:24,215
17.117058,48.1341,16:52:25,216
17.117056,48.134151,16:52:26,217
17.117054,48.134203,16:52:27,218
17.117052,48.134257,16:52:28,219
17.117049,48.134311,16:52:29,220
17.117045,48.134368,16:52:30,221
17.117043,48.134422,16:52:31,222
17.117042,48.134474,16:52:32,223
17.117039,48.134524,16:52:33,224
17.117036,48.134575,16:52:34,225
17.117034,48.134626,16:52:35,226
17.117034,48.134676,16:52:36,227
17.117033,48.13473,16:52:37,228
17.117038,48.134784,16:52:38,229
17.117039,48.134835,16:52:39,230
17.117041,48.134883,16:52:40,231
17.117047,48.134929,16:52:41,232
17.117052,48.134976,16:52:42,233
17.117047,48.135025,16:52:43,234
17.117042,48.135074,16:52:44,235
17.11704,48.135122,16:52:45,236
17.117039,48.135168,16:52:46,237
17.117047,48.135213,16:52:47,238
17.117067,48.135256,16:52:48,239
17.117091,48.135299,16:52:49,240
17.117108,48.135344,16:52:50,241
17.117115,48.135392,16:52:51,242
17.117119,48.135443,16:52:52,243
17.117124,48.135494,16:52:53,244
17.11713,48.135545,16:52:54,245
17.117137,48.135594,16:52:55,246
17.117144,48.135644,16:52:56,247
17.117151,48.135693,16:52:57,248
17.117156,48.135738,16:52:58,249
17.117171,48.135779,16:52:59,250
17.117188,48.135816,16:53:00,251
17.117194,48.135855,16:53:01,252
17.117177,48.1359,16:53:02,253
17.117171,48.135944,16:53:03,254
17.117167,48.135986,16:53:04,255
17.117163,48.136029,16:53:05,256
17.117162,48.13607,16:53:06,257
17.117163,48.136108,16:53:07,258
17.117161,48.136148,16:53:08,259
17.117163,48.136185,16:53:09,260
17.117166,48.136223,16:53:10,261
17.117171,48.136257,16:53:11,262
17.117174,48.136292,16:53:12,263
17.117179,48.136327,16:53:13,264
17.117182,48.136361,16:53:14,265
17.117196,48.13639,16:53:15,266
17.117202,48.136417,16:53:16,267
17.117214,48.136447,16:53:17,268
17.117228,48.136481,16:53:18,269
17.117235,48.136518,16:53:19,270
17.117234,48.136556,16:53:20,271
17.11723,48.136594,16:53:21,272
17.117227,48.136631,16:53:22,273
17.117227,48.136666,16:53:23,274
17.11723,48.136703,16:53:24,275
17.117233,48.136741,16:53:25,276
17.117239,48.136779,16:53:26,277
17.117246,48.136816,16:53:27,278
17.117249,48.13685,16:53:28,279
17.11725,48.136887,16:53:29,280
17.117252,48.136927,16:53:30,281
17.117251,48.136965,16:53:31,282
17.117251,48.137005,16:53:32,283
17.117248,48.137047,16:53:33,284
17.11725,48.137085,16:53:34,285
17.117254,48.137121,16:53:35,286
17.117256,48.137158,16:53:36,287
17.117257,48.137193,16:53:37,288
17.117257,48.13723,16:53:38,289
17.117265,48.137265,16:53:39,290
17.117274,48.1373,16:53:40,291
17.117275,48.137343,16:53:41,292
17.117276,48.137382,16:53:42,293
17.117279,48.137419,16:53:43,294
17.117274,48.137463,16:53:44,295
17.117268,48.137506,16:53:45,296
17.117265,48.137547,16:53:46,297
17.117267,48.137587,16:53:47,298
17.117274,48.137623,16:53:48,299
17.117273,48.13766,16:53:49,300
17.117272,48.137697,16:53:50,301
17.117279,48.137733,16:53:51,302
17.11728,48.13777,16:53:52,303
17.117286,48.137806,16:53:53,304
17.117286,48.13784,16:53:54,305
17.117287,48.137868,16:53:55,306
17.117291,48.137895,16:53:56,307
17.11729,48.137933,16:53:57,308
17.117289,48.137973,16:53:58,309
17.117294,48.138011,16:53:59,310
17.117298,48.138056,16:54:00,311
17.117304,48.138098,16:54:01,312
17.117311,48.138139,16:54:02,313
17.117315,48.13818,16:54:03,314
17.117328,48.138215,16:54:04,315
17.117337,48.13825,16:54:05,316
17.117338,48.138284,16:54:06,317
17.117342,48.138319,16:54:07,318
17.117355,48.138354,16:54:08,319
17.117364,48.138387,16:54:09,320
17.117371,48.13842,16:54:10,321
17.117379,48.138457,16:54:11,322
17.117387,48.138505,16:54:12,323
17.117391,48.138559,16:54:13,324
17.117395,48.138615,16:54:14,325
17.117398,48.138667,16:54:15,326
17.117397,48.13872,16:54:16,327
17.117398,48.138771,16:54:17,328
17.117406,48.138814,16:54:18,329
17.11742,48.138857,16:54:19,330
17.117423,48.138907,16:54:20,331
17.117421,48.138954,16:54:21,332
17.117421,48.139001,16:54:22,333
17.117423,48.139047,16:54:23,334
17.117422,48.139092,16:54:24,335
17.117425,48.139138,16:54:25,336
17.11743,48.139183,16:54:26,337
17.117433,48.13923,16:54:27,338
17.117433,48.139284,16:54:28,339
17.117431,48.139341,16:54:29,340
17.117432,48.139405,16:54:30,341
17.117435,48.139464,16:54:31,342
17.11744,48.139517,16:54:32,343
17.117444,48.139576,16:54:33,344
17.117447,48.139633,16:54:34,345
17.117451,48.139689,16:54:35,346
17.117454,48.139746,16:54:36,347
17.117452,48.139805,16:54:37,348
17.117448,48.139869,16:54:38,349
17.117439,48.139933,16:54:39,350
17.11743,48.139996,16:54:40,351
17.117425,48.140055,16:54:41,352
17.117423,48.140112,16:54:42,353
17.117421,48.140169,16:54:43,354
17.117418,48.140225,16:54:44,355
17.11741,48.140281,16:54:45,356
17.117397,48.140336,16:54:46,357
17.117381,48.140391,16:54:47,358
17.117368,48.140441,16:54:48,359
17.117351,48.140486,16:54:49,360
17.117329,48.140533,16:54:50,361
17.117299,48.14058,16:54:51,362
17.117268,48.140628,16:54:52,363
17.117234,48.140675,16:54:53,364
17.117196,48.140718,16:54:54,365
17.11716,48.140763,16:54:55,366
17.117129,48.140802,16:54:56,367
17.117099,48.140838,16:54:57,368
17.117064,48.140875,16:54:58,369
17.117022,48.140914,16:54:59,370
17.116968,48.140951,16:55:00,371
17.116901,48.140981,16:55:01,372
17.116828,48.140996,16:55:02,373
17.11676,48.140994,16:55:03,374
17.116695,48.140982,16:55:04,375
17.116634,48.140968,16:55:05,376
17.116576,48.140956,16:55:06,377
17.116519,48.140941,16:55:07,378
17.116465,48.14092,16:55:08,379
17.116408,48.140901,16:55:09,380
17.116352,48.140881,16:55:10,381
17.11631,48.140854,16:55:11,382
17.116294,48.140817,16:55:12,383
17.116281,48.140774,16:55:13,384
17.116274,48.140735,16:55:14,385
17.116278,48.140698,16:55:15,386
17.116284,48.140658,16:55:16,387
17.116297,48.140617,16:55:17,388
17.116309,48.140576,16:55:18,389
17.116302,48.140538,16:55:19,390
17.116288,48.140499,16:55:20,391
17.116269,48.140459,16:55:21,392
17.116252,48.140418,16:55:22,393
17.116236,48.140373,16:55:23,394
17.116219,48.14033,16:55:24,395
17.116202,48.140289,16:55:25,396
17.116188,48.14025,16:55:26,397
17.116178,48.140214,16:55:27,398
17.116169,48.140178,16:55:28,399
17.116161,48.140143,16:55:29,400
17.116157,48.14011,16:55:30,401
17.116126,48.140083,16:55:31,402
17.116072,48.140066,16:55:32,403
17.116052,48.140062,16:55:33,404
17.116009,48.140057,16:55:34,405
17.115963,48.140054,16:55:35,406
17.115916,48.140051,16:55:36,407
17.115867,48.140049,16:55:37,408
17.115818,48.14005,16:55:38,409
17.115767,48.140058,16:55:39,410
17.11572,48.140067,16:55:40,411
17.115676,48.140075,16:55:41,412
17.115632,48.140083,16:55:42,413
17.115587,48.140091,16:55:43,414
17.115537,48.140096,16:55:44,415
17.115486,48.140099,16:55:45,416
17.115431,48.140099,16:55:46,417
17.115374,48.1401,16:55:47,418
17.115317,48.140102,16:55:48,419
17.115259,48.140105,16:55:49,420
17.115201,48.140108,16:55:50,421
17.115141,48.14011,16:55:51,422
17.11508,48.140109,16:55:52,423
17.115017,48.140108,16:55:53,424
17.114952,48.140107,16:55:54,425
17.114884,48.140105,16:55:55,426
17.114819,48.140102,16:55:56,427
17.114752,48.140099,16:55:57,428
17.114685,48.140096,16:55:58,429
17.114616,48.140094,16:55:59,430
17.114545,48.14009,16:56:00,431
17.114472,48.140087,16:56:01,432
17.114399,48.140084,16:56:02,433
17.114327,48.140087,16:56:03,434
17.114261,48.140094,16:56:04,435
17.114198,48.140105,16:56:05,436
17.114136,48.140115,16:56:06,437
17.114074,48.140125,16:56:07,438
17.114013,48.140136,16:56:08,439
17.113953,48.140146,16:56:09,440
17.113892,48.140152,16:56:10,441
17.113833,48.140159,16:56:11,442
17.113776,48.140165,16:56:12,443
17.113723,48.14017,16:56:13,444
17.113672,48.140175,16:56:14,445
17.113623,48.140181,16:56:15,446
17.113574,48.140188,16:56:16,447
17.113524,48.140197,16:56:17,448
17.11347,48.140204,16:56:18,449
17.113419,48.140217,16:56:19,450
17.113376,48.140236,16:56:20,451
17.113331,48.140252,16:56:21,452
17.113287,48.140268,16:56:22,453
17.113245,48.140285,16:56:23,454
17.113205,48.140305,16:56:24,455
17.113161,48.140323,16:56:25,456
17.113117,48.140343,16:56:26,457
17.113073,48.140367,16:56:27,458
17.113021,48.140386,16:56:28,459
17.112959,48.140394,16:56:29,460
17.112889,48.140391,16:56:30,461
17.112811,48.140384,16:56:31,462
17.112731,48.140376,16:56:32,463
17.112649,48.140364,16:56:33,464
17.112566,48.140344,16:56:34,465
17.112489,48.140315,16:56:35,466
17.112424,48.140281,16:56:36,467
17.112365,48.140244,16:56:37,468
17.11232,48.140206,16:56:38,469
17.112295,48.140161,16:56:39,470
17.112276,48.140116,16:56:40,471
17.112258,48.140072,16:56:41,472
17.112242,48.140029,16:56:42,473
17.11223,48.139986,16:56:43,474
17.112217,48.139945,16:56:44,475
17.112196,48.13991,16:56:45,476
17.112158,48.139885,16:56:46,477
17.11211,48.139871,16:56:47,478
17.112059,48.139861,16:56:48,479
17.112005,48.139854,16:56:49,480
17.111949,48.13985,16:56:50,481
17.111892,48.139846,16:56:51,482
17.111837,48.139846,16:56:52,483
17.111781,48.13985,16:56:53,484
17.111723,48.139852,16:56:54,485
17.111662,48.139849,16:56:55,486
17.111599,48.139845,16:56:56,487
17.111535,48.13984,16:56:57,488
17.11147,48.139833,16:56:58,489
17.111405,48.139828,16:56:59,490
17.111338,48.139823,16:57:00,491
17.111271,48.139818,16:57:01,492
17.111203,48.139816,16:57:02,493
17.111136,48.139818,16:57:03,494
17.111071,48.13982,16:57:04,495
17.111004,48.13982,16:57:05,496
17.110936,48.139817,16:57:06,497
17.110868,48.139816,16:57:07,498
17.110802,48.139816,16:57:08,499
17.110736,48.139817,16:57:09,500
17.110672,48.139818,16:57:10,501
17.110607,48.139817,16:57:11,502
17.110541,48.139816,16:57:12,503
17.110474,48.139813,16:57:13,504
17.110404,48.139808,16:57:14,505
17.110334,48.139803,16:57:15,506
17.110264,48.139797,16:57:16,507
17.110195,48.139791,16:57:17,508
17.110127,48.139785,16:57:18,509
17.11006,48.139779,16:57:19,510
